企业名称,经营状态,信用代码,省份,城市,区域,城市基建,能源,交通,水利,工业服务,施工,设计/EPC,投资,其他,EPC,已清洗
茶陵县烨海环境治理有限公司,存续,91430224MADPKX3K5M,湖南省,株洲,茶陵,环境环保,,,,,,,社投,,,#N/A
茶陵县艺宇新能源科技有限公司,存续,91430224MABR3UHY62,湖南省,株洲,茶陵,城市供热,,,,,,,社投,,,#N/A
茶陵县元王矿业有限责任公司,存续,91430224753382867P,湖南省,株洲,茶陵,,矿冶,,,,,,公投,,,#N/A
茶陵县垸井光伏发电有限公司,存续,91430224MA4LK4FU4T,湖南省,湘西,泸溪,,电力,,,,,,社投,,,#N/A
茶陵县云阳自来水有限公司,存续,91430224748351329U,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县枣市岩口自来水有限责任公司,存续,91430224077181372X,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县枣市镇西岭山泉水有限公司,存续,91430224MA4L1GXU82,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县秩堂皇雩仙自来水有限公司,存续,914302245635161589,湖南省,株洲,茶陵,供水(自来水）,,,,,,,社投,,,#N/A
茶陵县子航园林有限公司,存续,91430224MA7BT8K901,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,#N/A
茶陵雩美园林绿化工程有限公司,存续,91430224MADFRNCY9P,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,#N/A
常德安乡银龙水务有限公司,存续,91430700396026724R,湖南省,常德,安乡,水务,,,,,,,社投,,,#N/A
常德翱宇园林绿化工程有限公司,存续,91430703MA4TE81H43,湖南省,常德,鼎城,传统施工,,,,,施工,,,,,#N/A
常德百润能源有限公司,存续,91430725351674648A,湖南省,衡阳,常宁,城市燃气,,,,,,,社投,,,#N/A
常德百树城建筑工程有限公司,存续,914307233447506497,湖南省,常德,澧县,传统施工,,,,,施工,,,,,#N/A
常德佰信达新型建材科技有限公司,存续,91430703MA4LNGX88D,湖南省,常德,鼎城,传统施工,,,,,施工,,,,,#N/A
常德柏彦园林绿化工程有限公司,存续,91430700MADNK4C59G,湖南省,常德,汉寿,传统施工,,,,,施工,,,,,#N/A
常德北控碧海水务有限责任公司,存续,91430700MA4L7UUT1Y,湖南省,常德,武陵,水务,,,,,,,社投,,,#N/A
常德北控水质净化有限公司,存续,91430700081366484J,湖南省,常德,桃源,水务,,,,,,,社投,,,#N/A
常德北控制水有限公司,存续,91430700070564688Q,湖南省,常德,桃源,供水(自来水）,,,,,,,社投,,,#N/A
常德北战古建园林工程有限公司,存续,91430723MADQA87W7C,湖南省,常德,澧县,传统施工,,,,,施工,,,,,#N/A
常德宾利燃气有限公司,存续,91430703MA4PAJREX7,湖南省,湘西,吉首,城市燃气,,,,,,,社投,,,#N/A
常德兵泉固体废物治理有限责任公司,存续,91430702MA4RKQ850B,湖南省,常德,武陵,环境环保,,,,,,,社投,,,#N/A
常德博跃园林绿化有限公司,存续,91430700MAC3XKYJ8K,湖南省,常德,武陵,传统施工,,,,,施工,,,,,#N/A
